"convocatoria","area","questions","option_A","option_B","option_C","option_D","correct_answer"
"Examenes_2026_I","8053031-014-terapia-fisica","La ...... es un proceso encaminado a lograr que las personas con ......, estén en condiciones de alcanzar y mantener un 
estado funcional óptimo.","gestión / condiciones","organización / habilidades","rehabilitación / discapacidad","planificación / compromiso","C"
"Examenes_2026_I","8053031-014-terapia-fisica","Conocer las prácticas tradicionales en la atención prenatal, parto y post parto, así como del manejo del recién nacido, 
para comprender y respetar las costumbres y prácticas ancestrales de una gestante que acude al EESS de una localidad, 
es el uso de:","Diálogo intercultural en salud","Pertinencia étnica","Medicina tradicional","Enfoque intercultural","D"
"Examenes_2026_I","8053031-014-terapia-fisica","En relación a la terapia preventiva de la tuberculosis en contactos con TB sensible. ¿Cuál es la indicación?","El esquema de elección en menores de 2 años es 3 HP","La administración es de lunes a domingo, incluido feriados","La administración es de lunes a sábado, no incluye feriados","El esquema de elección en mayores de 2 años es 3 HR","B"
"Examenes_2026_I","8053031-014-terapia-fisica","El biofeedback aplicado a la neurorrehabilitación tiene tres elementos claves que consta de la repetición, 
la retroalimentación sensorial y la ...","motivación.","coordinación.","propiocepción.","secuencia.","A"
"Examenes_2026_I","8053031-014-terapia-fisica","¿Cómo se conocen a aquellos medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el 
país y que luego de una evaluación técnica especializada multidisciplinaria han demostrado ser comparativamente 
seguros, eficaces y costo efectivo, deben estar disponibles en todo momento y al alcance de la población que los 
necesita?","Huérfanos","Genéricos","Esenciales","De estrategias sanitarias","C"
"Examenes_2026_I","8053031-014-terapia-fisica","En las intervenciones realizadas en el EESS por el personal de salud en guardias comunitarias esta la vigilancia 
epidemiológica en dengue para verificar el incremento de casos reportados en los meses de verano ¿Qué característica 
epidemiológica resulta de estas intervenciones?","Cambio en patrones de vectores","Número de casas infectadas","Tipos de almacenamiento de agua","Vigilancia pública","A"
"Examenes_2026_I","8053031-014-terapia-fisica","Gestante migrante quechua hablante, que acude para atención a su establecimiento de salud tiene derecho a ...","presencia solo de pareja.","servicios de salud con adecuación cultural.","traductor de idioma original.","acompañamiento de familia.","B"
"Examenes_2026_I","8053031-014-terapia-fisica","En un establecimiento de salud I-4, un ejemplo de UPSS podría considerarse al servicio de …","pediatría.","gestión de investigación.","docencia.","epidemiología.","A"
"Examenes_2026_I","8053031-014-terapia-fisica","El establecimiento de salud, dentro de su plan local brinda las prestaciones de promoción, prevención y recuperación de 
la anemia en la población objetiva. Considerando el contexto social; esta atención se desarrolla con:","Vigilancia reactiva","Consejeria nutricional","Pertinencia cultural","Suplementación preventiva","C"
"Examenes_2026_I","8053031-014-terapia-fisica","Si la interacción entre un paciente y el personal sanitario tratante, se da mediante uso de las TICs, ¿Qué concepto de 
salud se está aplicando?","Salud intercultural","Telesalud","Cuidado integral","Promoviendo salud","B"
"Examenes_2026_I","8053031-014-terapia-fisica","¿Cuál es el documento en el que se registra los datos de identificación y de los procesos relacionados con la atención 
del paciente, en forma ordenada, integrada, secuencial e inmediata a la atención que el profesional de la salud brinda al 
paciente?","Informe de alta","Consentimiento informado","Epicrisis","Historia clínica","D"
"Examenes_2026_I","8053031-014-terapia-fisica","Juan de 12 años, con diagnóstico de retardo mental leve presenta problemas odontológicos y necesita ser sometido a un 
procedimiento que incluye sedación. ¿Qué criterio debe tener en cuenta el odontólogo para el ingreso del paciente?","Cardiopatía congénita y reflujo","Infección respiratoria alta activa","Odontofobia o ansiedad incontrolable","Apnea obstructiva del sueño","C"
"Examenes_2026_I","8053031-014-terapia-fisica","Para realizar un trabajo de investigación y obtener información de las exposiciones anteriores y actuales. ¿Qué tipo de 
recolección de debe realizar?","Informante indirecto","Observación","Entrevista","Observación familiar","C"
"Examenes_2026_I","8053031-014-terapia-fisica","Varón de 24 años, se acerca al establecimiento de salud para un descarte de tuberculosis. La notificación del caso es de 
carácter obligatorio en todas las IPRESS, ya que la misma se encuentra alineada a la estrategia para controlar la 
transmisión de tuberculosis a nivel nacional, todo esto en el marco de la:","Reinfección de la enfermedad","Censo y seguimiento de contactos","Identificación y detección de casos","Vigilancia epidemiológica","D"
"Examenes_2026_I","8053031-014-terapia-fisica","Con el interés de conocer los efectos a la salud humana de la exposición al arsénico a través del agua de consumo, 
plantea un proyecto de investigación analítico. ¿Cuál es la instancia a donde debe someter a revisión y aprobación 
su proyecto antes de recolectar datos?","Jefe de servicio","Director de la IPRESS","Municipalidad distrital","Comité de Ética en Investigación","D"
"Examenes_2026_I","8053031-014-terapia-fisica","Para la formulación de la visión, uno de los componentes toma en cuenta lo que el establecimiento de salud considera 
importante para su existencia y la comunidad, así también lo que considera inviolable. ¿A qué componente hace 
referencia?","Ejes temáticos","Responsabilidad social","Infraestructura adecuada","Valores fundamentales","D"
"Examenes_2026_I","8053031-014-terapia-fisica","El equipo de trabajo para evaluación de brote de IAAS, es presidido por ...","director del EE.SS.","responsable de Epidemiología.","jefe de Departamento de Enfermería.","responsable de prevención y control de IAAS.","A"
"Examenes_2026_I","8053031-014-terapia-fisica","Se desea evaluar el impacto del sulfato ferroso sobre el promedio de hemoglobina en niños de su comunidad. ¿Cuál es 
la prueba estadística que debe utilizar para probar su hipótesis?","Correlación de Pearson","Percentiles","t de Student","Chi cuadrado","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Los cambios demográficos es el factor más relevante en el fenómeno de ...... resultante de las tasas de mortalidad y 
fertilidad, principalmente, los fenómenos que producen los cambios son los que generan una modificación en el perfil 
etario de las poblaciones y en el perfil de salud, así como en la expectativa de vida.","cambios en antigenicidad","transición epidemiológica","cambios en estilo de vida","cambios ambientales","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Una IPRESS de la amazonía peruana quiere generar evidencia de los efectos a la salud que produce la actividad minera 
ilegal en su región. ¿Cuál es el enfoque investigativo más apropiado para abordar este problema?","Cuantitativo","Mixto","Cualitativo","Correlacional","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En el establecimiento de salud el cirujano dentista se retira horas antes de terminar su turno de trabajo, sin permiso para 
acudir a la festividad de la comunidad vecina; teniendo sesiones educativas pendientes con las gestantes y niños. Según 
el código de ética. ¿Cuánto tiempo de suspensión profesional puede tener?","Menos de 24 meses","Entre 30 y 36 meses","Entre 25 y 29 meses","Más de 24 meses","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","¿Cuál es el tipo de investigación en la que al investigador le interesa caracterizar y contextualizar fenómenos, situaciones, 
eventos indicando sus rasgos más distintivos o diferenciadores?","Correlacional","Analítica","Cuasiexperimental","Descriptiva","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El jefe del establecimiento de salud nivel I-2 ha identificado que existe necesidad de otro personal técnico para las visitas 
domiciliarias, porque no se logran las metas programadas. ¿En qué instrumento de gestión se debe programar 
este recurso?","Plan de salud local","Plan estratégico","Plan operativo","Presupuesto por resultados","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En el CS I-4 con comunidad afroperuana, se busca fortalecer la aplicación del enfoque intercultural con la participación 
de autoridades y personal de salud, promotores de salud, agentes de medicina tradicional y autoridades regionales y 
locales para la identificación y solución de los problemas de salud de la persona, familia y comunidad. Esta acción se 
describe como:","Participación ciudadana","Pertinencia cultural","Adecuación Intercultural","Diálogo en salud","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","La obstetra fue designada a una comunidad indígena donde el 50.7% de mujeres no conoce sobre ITS y las hace 
vulnerables para contraer VIH/SIDA. Debe implementar acciones de información a esta población, tomando en cuenta 
sus características culturales, garantizando el derecho a la atención en salud. ¿A qué corresponden estas acciones?","Inclusión social","Interculturalidad en salud","Diálogo cultural","Pertinencia cultural","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El examen de articulación de sonidos del habla, evalúa la adquisición ...… del niño.","anatómica","silábica","fonémica","vocálica","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Paciente con diagnóstico de glioblastoma es evaluado en el consultorio de cuidados paliativos; manifiesta al médico que 
la dosis de fármaco que debe tomar a las 12 de la medianoche le altera el sueño por lo que ha decidido no tomarla. El 
médico realiza el ajuste en la prescripción de la hora de administración del fármaco, por lo que llegan a un acuerdo 
generando satisfacción y compromiso en el paciente. ¿Qué tipo de atención está realizando?","Atención primaria renovada","Atención centrada en la persona","Atención centrada en la familia","Atención centrada en la comunidad","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Su centro de salud le ha solicitado elaborar y estandarizar el formato de informe de exámenes de laboratorio, con el fin 
de mejorar la gestión de la historia clínica. ¿Cuál es parte del contenido mínimo de dicho formato?","Breve descripción del caso","Diagnóstico clínico presuntivo","Fecha y hora de emisión de resultado","Marca del equipo o reactivo utilizado","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Dentro de las estrategias planteadas en el establecimiento de salud en el área niño para la cobertura de sus indicadores 
de gestión se estableció trabajo intra y extramural el cual abarca coordinar con municipalidades, colegios e instituciones 
de la jurisdicción para la realización de un trabajo conjunto que incida en mejorar el vínculo entre instituciones así como 
también se estableció la participación de empresas privadas de la jurisdicción. ¿Qué principio del sistema de salud se 
toma en cuenta?","Participación","Sostenibilidad","Orientación a la calidad","Intersectorialidad","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El P.S. de la comunidad de Angora no cuenta con cirujano dentista, los pacientes son referidos al C.S. Huasahuasi, 
teniendo que caminar 8 horas porque no se cuenta con carretera; esto ocasiona que muchos no asistan al C.S. para su 
atención odontológica; incrementándose los problemas de salud bucal. En el marco de la Atención Primaria en 
Salud. ¿Qué atributo se está vulnerando?","Primer contacto","Continuidad","Accesibilidad","Integralidad","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Analizando epidemiológicamente el número de casos de dengue en el sector V de la jurisdicción de San Juan de 
Lurigancho del EESS Motupe se encontró viviendas con exposición al mosquito Aedes aegypti tanto en almacenamiento 
de tanques como en recipientes. ¿Qué tipo de determinante está influyendo en la comunidad?","Sistema sanitario","Biología humana","Estilo de vida","Medio ambiente","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Varón de 68 años acude a su consulta nutricional, después de la evaluación nutricional antropométrica, se determina que 
presenta IMC de 27.5, el profesional nutricionista registra la interpretación de los valores de índice de masa corporal (IMC) 
como:","Normal","Obesidad","Delgadez","Sobrepeso","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El centro de salud donde realiza su SERUMS ha registrado varios casos de leucemia infantil en los últimos años, por lo 
que tiene interés de investigar los factores asociados. ¿Qué tipo de estudio será el más conveniente?","Ensayo clínico","Cohortes prospectiva","Casos y controles","Descriptivo","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Dentro de los factores de riesgo de un paciente obeso que sigue un plan nutricional, el desequilibrio o circunstancias de 
alteración puede dar la probabilidad de padecer la enfermedad. ¿Cómo se denomina a este fenómeno?","Interacción negativo","Enfermedad transmisible","Proceso mórbido","Enfermedad no transmisible","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El deterioro del ...… de las personas mayores con demencia se inicia con una alteración en la función ...… del lenguaje.","cognitivo / léxica","lenguaje / pragmática","razonamiento / sintáctica","habla / fonética","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Una evaluación de causalidad de sospecha de RAM realizada sobre una población de 500 habitantes en un periodo de 1 
año, se registraron 15 casos de rash post administración de ciprofloxacino 500 mg tableta vía oral de la marca X, mientras 
que se evidenciaron 3 casos de rash con la administración de ciprofloxacino marca Y. ¿Qué tipo de diseño de 
investigación se debe aplicar?","Experimental","Casos y Controles","Cohorte","Prospectivo","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En un EE.SS. para reducir la concentración de partículas infecciosas, priorizando las áreas de mayor riesgo de transmisión 
de M. tuberculosis, se debe considerar como medidas de control ambiental:","Promover la higiene respiratoria y uso de mascarilla quirúrgica","Realizar la búsqueda activa y pasiva de casos de TB en personal de salud","Evaluar, utilizar, mantener o mejorar el sistema de ventilación","Capacitación periódica al personal de la salud sobre uso de EPP","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En un establecimiento de salud I-4, el personal de salud realiza campaña ecográfica y detecta a tiempo litiasis vesicular 
en la población, según la historia natural de la enfermedad. ¿En qué etapa de prevención se ha intervenido?","Primordial","Terciaria","Primaria","Secundaria","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En el establecimiento de salud se presenta una complicada relación entre los trabajadores, ha pasado todo el año y no 
han realizado las capacitaciones sobre salud mental y otras especialidades. Dentro del plan de salud mental. ¿Cuál es el 
mínimo de capacitaciones al año?","3","2","1","4","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Una de las medidas sanitarias que se aplica en el EESS Conde de la Vega es la eliminación de los desechos que se 
utilizan en la sesión demostrativa el día de su intervención a fin de no generar acumulación de bacterias en el área de 
trabajo. ¿Qué medida sanitaria se emplea?","Control de vectores","Evacuación de alimentos tóxicos","Eliminación de residuos","Control sanitario de desechos solidos","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En una localidad, el agente comunitario del EESS, realiza visitas domiciliarias a los recién nacidos, para brindar 
orientación con respecto a la lactancia materna exclusiva. Esta acción fortalece la:","Transición epidemiológica","Prevención secundaria","Tasa de natalidad","Participación comunitaria","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En un caso de intoxicación por plomo, se sabe que mientras aumenta la exposición al plomo, también aumenta la 
gravedad de la intoxicación. ¿A qué criterio de Hill corresponde esta característica?","Gradiente biológico","Coherencia","Temporalidad","Consistencia","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Un estudio realizado en la población asignada a su IPRESS concluye que los niños cuyos padres son separados 
presentan el doble de riesgo de desnutrición. ¿En qué sección del informe encontrará los alcances, las limitaciones 
metodológicas y la comparación con estudios similares en otra población?","Discusión","Introducción","Resultados","Metodología","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Un profesional no titulado realiza labores de detección de coronavirus, por eso para informar sus resultados usa el sello 
y firma de un colega colegiado. Este comportamiento es una falta ética relacionada al...","pago de obligaciones pecunarias.","ausentismo y negligencia.","propiedad intelectual.","ejercicio profesional.","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En la inducción de ingreso al EESS Pimentel, le piden explicar el proceso que se inicia con la exposición de un huésped 
susceptible a un agente causal y sin intervención de los servicios, termina con la recuperación, la cronicidad, la 
discapacidad o la muerte. ¿A qué corresponde este proceso?","Historia natural de la enfermedad","Contexto epidemiológico","Cadena epidemiológica","Cadena de transmisión","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En un estudio descriptivo, realizado para entender el grado de adherencia a un tratamiento médico. ¿Qué tipo de 
herramienta de recolección de datos se caracteriza por tener como ventaja un mayor nivel de confianza, flexibilidad en el 
entendimiento de términos consultados, pero como desventaja la influencia en las respuestas durante la recolección de 
datos, y ser aplicable a un menor número de personas?","El foro","La encuesta","La observación","La entrevista","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Analizando los resultados de las principales patologías nutricionales que conforman el ASIS institucional encontramos en 
la etapa de vida adulto a la obesidad con mayor incidencia evaluando factores económicos, sociales, estilos de vida, 
patrones culturales y sociales como parte causal de dicha patología. ¿Desde el punto de salud pública que estamos 
analizando?","Intervención sanitaria","Proceso salud enfermedad","Análisis situacional","Evaluación sanitaria","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En los centros y puestos de salud, el ...... asume la responsabilidad de la gestión del SISMED debiendo designar a un 
responsable de farmacia y garantizar el soporte logístico y administrativo necesario.","químico farmacéutico","médico","jefe del establecimiento","administrador","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El contenido de la historia clínica de una paciente fallecida por presunta negligencia médica (muerte materna), debe ser 
custodiada bajo medidas de mayor seguridad. El tipo de archivo dónde se ubica se denomina:","Activo","Común","Especial","Pasivo","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El tipo de muestreo que están en desventaja para afirmar que, con sus hallazgos, se puedan hacer generalizaciones de 
la población, se denomina:","No probabilística","Aleatoria","Probabilística","Inadecuada","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El jefe de un establecimiento de salud requiere de hemoglobinómetros para realizar los controles de hemoglobina durante 
las visitas a la comunidad. La anemia es la primera morbilidad en el distrito y sobre todo en su localidad. Ha decidido 
presentar su requerimiento al alcalde. ¿Qué documento de gestión usará para sustentar lo requerido?","PEI","PPR","ASIS","POI","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En el centro de salud Piura, al paciente se detecta la enfermedad de zika donde el responsable de epidemiología revisa 
la historia clínica y realiza las visitas domiciliarias. ¿Cómo se llama ese sistema de búsqueda?","Activa institucional","Operativa local","Sistema epidemiológica","Sistema Galens","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Se observa que hay migrantes de la selva que viven en un asentamiento humano de un distrito de Lima, que son 
discriminados y rechazados por los pobladores del distrito donde pernoctan. ¿Qué acciones debe realizar como personal 
de salud?","Normalizar el comportamiento de la comunidad","Imponer acciones socio educativas","Reforzar la interacción cultural","Cambiar hábitos, costumbres y creencias","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","La investigación ...... permite identificar problemas, describir sus características, desarrollar conceptos y describir su punto 
de intervención mientras que, la investigación ...... añade nuevos datos a fenómenos previamente explorados, utilizando 
marcos de referencia concretos y centrándose en problemas específicos.","cualitativa-correlacional","experimental-correlacional","cuantitativa-correlacional","cualitativa-cuantitativa","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En el departamento de Huancavelica, el nivel de analfabetismo está relacionado con el grado de instrucción en las zonas 
más pobres, son variables predictivas importantes del empleo, la participación activa en la comunidad y el estado de 
salud. ¿En qué grupo poblacional es mayor?","Hombres","Neonatos","Niños","Mujeres","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Paciente con enfermedad terminal manifiesta al médico de cuidados paliativos la necesidad de regresar a su pueblo. La 
semana siguiente es el control de pruebas de sangre. El médico acuerda con la familia autorizar el viaje, luego de realizar 
los exámenes de laboratorio y obtener los resultados, con la condición de regresar antes de su próximo control y cumplir 
con las indicaciones brindadas. En relación a la atención centrada en la persona. ¿Qué dimensión clave se está 
aplicando?","La perspectiva biopsicosocial","Alianza terapéutica consensuada","Compartir poder y responsabilidad","El profesional como centro del proceso","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","¿Cuál es uno de los cuatro ejes del desarrollo de la telesalud e incluye actividades de organización, dirección y control 
de servicios de salud?","Teleconsulta","Teleorientación","Telegestión","Telemonitoreo","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El conjunto de estrategias que se aplican para aumentar la seguridad y la eficacia del proceso deglutorio. Esta 
definición corresponde a maniobras...","masticatorias.","deglutorias.","laríngeas.","respiratorias.","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Gestante migrante quechua hablante, que acude para atención a su establecimiento de salud tiene derecho a ...","presencia solo de pareja.","servicios de salud con adecuación cultural.","acompañamiento de familia.","traductor de idioma original.","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Un instrumento de medición es un recurso que utiliza el investigador para registrar información o datos fidedignos sobre 
los que deberán basarse la planificación, la práctica y las acciones sobre las variables que tiene en mente ejecutar, es 
por esto que existen tres requisitos que el instrumento de medición elegido debe cumplir: confiabilidad, validez y ...","variabilidad.","autonomía.","objetividad.","subjetividad.","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","¿A qué corresponde la siguiente definición: “son las repeticiones que el niño hace al oír los sonidos que él mismo emite”?","Orofacial","Laleo","Taquilalia","Dislalia","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Al momento de evaluar a las personas adultas mayores con deterioro cognitivo leve es necesario considerar las variables 
psisociales, económicas y físicas. ¿Cuáles son los trastornos que presenta?","Fluidez y la semántica","Aprendizaje y la comprensión","Lenguaje y la comunicación","Habla y la fluidez","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Antes de realizar un procedimiento en la toma del PAP, como por ejemplo colocar el espéculo; debo solicitar la 
autorización del mismo y explicar los beneficios del procedimiento. ¿En que documento debe quedar la evidencia?","Registro de atención","Consentimiento informado","Libro de reportes","Ficha de vigilancia","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Ud. desea definir las líneas de mejora continua de su centro de salud para lo cual es necesario conocer sus 
fortalezas. ¿Qué pregunta debe realizar?","¿Qué riesgos externos existen?","¿Qué nos falta para mejorar?","¿Qué facilidades se presentan?","¿Qué se está haciendo bien?","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Una puérpera hospitalizada en su centro de salud pide alta voluntaria, por lo que solicita una copia autenticada de su 
historia clínica y epicrisis. ¿Cuál debe ser la respuesta de la IPRESS?","Referirla a la DIRIS/GERESA","Rechazar por no estar obligada","Entregar en el lapso de 5 días","Aceptar en el lapso de 1 mes","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En el C.S Esperanza, se ha decidido realizar acciones preventivas dirigidas a detectar enfermedades en su fase 
presintomática a fin de frenar su curso, por lo que el servicio de nutrición realizará una campaña de determinación de 
perímetro abdominal (PAB). ¿Qué tipo de prevención se aplica?","Terciaria","Cuaternaria","Secundaria","Primaria","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Los individuos, inicialmente sin la enfermedad o el efecto de interés, forman los grupos de acuerdo a su exposición o no 
al factor de estudio, y se les realiza un seguimiento durante un período determinado de tiempo comparando la frecuencia 
con que aparece el efecto o la respuesta en los expuestos y no expuestos. ¿A qué tipo de estudio longitudinal 
corresponde?","Tendencia","Correlacional","Exploratorios","Cohorte","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Luego de una investigación sobre anemia en el Perú, el investigador principal presenta resultados parcialmente 
convenientes para justificar más presupuesto a la entidad financiadora. Dicho profesional está incurriendo en una falta de 
tipo:","Judicial","Administrativa","Intelectual","Deontológica","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Para poder estimar el cálculo del número de individuos necesario para realizar un estudio de investigación transversal, 
es imprescindible conocer la variabilidad del parámetro que se desea estimar a través de la varianza. ¿Cuál es el enfoque 
del estudio?","Cuantitativo","Cualitativo","Prospectivo","Mixto","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Supervisar implica necesariamente comunicarse con las otras personas de una manera apropiada y significativa. La 
comunicación adecuada simplifica la supervisión, se aplica el principio de ....... en el proceso de control.","enseñanza","liderazgo","comunicación","planeación","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Recién nacido vivo de parto institucional es afiliado al Seguro integral de Salud del centro materno para recibir sus 
atenciones. En el marco de la atención primaria en salud. ¿Qué objetivo esencial está cumpliendo?","Políticas públicas saludables","Cobertura universal","Liderazgo","Servicios centrados en la persona","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","La deficiencia de hierro es la disminución de los niveles de Hb a causa de la carencia de hierro también se le conoce 
como...","anemia ferropénica.","ferritina sérica.","suplemento férrico.","anemia férrica.","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En su establecimiento de salud se ha verificado problemas en la segregación de residuos contaminados por la falta de 
recipientes, utilizando tachos de residuos generales lo que constituye un problema dentro de los factores ambientales 
ocasionando ...","contaminación atmosférica.","calidad sanitaria.","riesgos higiénicos.","riesgos laborales.","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En relación a la terapia preventiva de la tuberculosis en contactos con TB sensible. ¿Cuál es la indicación?","El esquema de elección en mayores de 2 años es 3 HR","La administración es de lunes a sábado, no incluye feriados","El esquema de elección en menores de 2 años es 3 HP","La administración es de lunes a domingo, incluido feriados","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","¿Cómo se conocen a aquellos medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el 
país y que luego de una evaluación técnica especializada multidisciplinaria han demostrado ser comparativamente 
seguros, eficaces y costo efectivo, deben estar disponibles en todo momento y al alcance de la población que los 
necesita?","Genéricos","Esenciales","Huérfanos","De estrategias sanitarias","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Varón de 24 años, se acerca al establecimiento de salud para un descarte tuberculosis. La notificación del caso es de 
carácter obligatorio en todas las IPRESS, ya que la misma se encuentra alineada a la estrategia para controlar la 
transmisión de tuberculosis a nivel nacional, todo esto en el marco de la:","Vigilancia epidemiológica","Identificación y detección de casos","Censo y seguimiento de contactos","Reinfección de la enfermedad","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Un profesor de primaria que emplea su voz para enseñar a los estudiantes, labora en un colegio estatal en la mañana y 
en la tarde enseña en un colegio particular. ¿Qué problemas de salud ocupacional tendrá?","Voz, músculo esquelético y psíquicas","Habla, tendinitis y depresivos","Audición, respiratorio y estrés","Lenguaje, circulatorio y psicótico","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El responsable de la RIS desea saber la cantidad de atenciones realizadas por el médico serumista en 
consulta externa. ¿Qué indicador de gestión debe utilizar?","Concentración","Productividad","Permanencia","Rendimiento","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El personal de laboratorio clínico recibió entrenamiento, mediante videollamada, sobre los procedimientos de toma y 
envío de muestras de tos ferina. ¿Qué componente de la telesalud se utilizó?","Telegestión","Teleapoyo al diagnóstico","Telecapacitación","Teleorientación","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","A medida que los padres interactúen con sus niños autistas utilizando las comunicaciones y viendo los intereses de ellos, 
aumentan su respuesta de modo sensible, el ritmo de desarrollo de los niños. ¿Cuáles son las áreas del desarrollo que 
favorecen?","Social, aprendizaje y didáctico","Social, cognitivo y lingüístico","Educativo, cognitivo y familiar","Cultural, aprendizaje y lingüístico","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En la aplicación de la ficha familiar realizada por el personal de salud capacitado se ha establecido en los últimos meses 
que la incidencia de casos de anemia de niño y gestante está relacionada con aspectos relacionados a factores 
económicos, vivienda y estilo de vida de la familia. ¿Qué aspectos nos permite identificar en la aplicación de la ficha?","Datos demográficos","Determinantes de salud","Tipos de familia","Número de casos de anemia","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","La IPRESS busca identificar estrategias para lograr sus objetivos institucionales en un periodo de 3 años incluidos en el 
plan multianual. ¿Cuál es el instrumento de gestión al que debe alinear sus objetivos?","PDC","PEI","POI","PIA","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Un estudio de tipo experimental, realizado en una farmacia perteneciente a un establecimiento de salud, busca medir 
como objetivo principal, la influencia del tiempo de espera entre cada atención y el porcentaje de adherencia al tratamiento 
por parte de los pacientes; además para tener mayor información se decide analizar la edad del paciente en esta relación. 
¿Qué tipo de variable es la edad?","Interdependiente","Dependiente","Independiente","Interviniente","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Se encuentra usted en un centro de salud donde el ingreso es mediante transporte fluvial y debido a la temporada de 
lluvias no puede llegar el equipo especialista; con el fin de resguardar su seguridad les indican que realizarán la reunión 
de soporte técnico de forma virtual, para todo el personal involucrado del establecimiento de salud. ¿Qué tipo de servicio 
de telesalud se aplica?","Telemedicina","Telemonitoreo","Teleconsulta","Telecapacitación","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El médico responsable del CS Lince ha sido designado a realizar la intervención para el control de brechas designando 
equipos con los médicos de guardia, estableciendo responsables y objetivos por día para el cumplimiento de la meta 
designada. ¿Qué herramienta técnica está aplicando?","ASIS","Plan local de salud","Asignación de personal","Plan operativo institucional","B"
